Time	Channel A	Channel B
(ms)	(V)	(V)

3.07999992	1.55065800	0.26082680
3.09999992	1.55065800	0.17378200
3.11999992	1.55065800	0.17378200
3.13999992	1.55065800	0.17378200
3.15999992	1.55065800	0.17378200
3.17999992	1.50621300	0.17378200
3.19999992	1.50621300	0.08673721
3.21999992	1.50621300	0.08673721
3.23999992	1.50621300	0.00000000
3.25999992	1.50621300	0.00000000
3.27999992	1.50621300	0.00000000
3.29999992	1.50621300	0.00000000
3.31999992	1.50621300	0.00000000
3.33999992	1.50621300	-0.08673721
3.35999992	1.50621300	-0.08673721
3.37999991	1.55065800	-0.08673721
3.39999991	1.55065800	-0.08673721
3.41999991	1.59495000	-0.08673721
3.43999991	1.59495000	-0.08673721
3.45999991	1.63924100	-0.17378200
3.47999991	1.63924100	-0.17378200
3.49999991	1.63924100	-0.17378200
3.51999991	1.68353200	-0.17378200
3.53999991	1.68353200	-0.26082680
3.55999991	1.68353200	-0.26082680
3.57999991	1.72782400	-0.26082680
3.59999991	1.72782400	-0.26082680
3.61999991	1.72782400	-0.34787150
3.63999991	1.77211500	-0.34787150
3.65999991	1.77211500	-0.34787150
3.67999991	1.81640600	-0.34787150
3.69999991	1.81640600	-0.34787150
3.71999991	1.81640600	-0.43491630
3.73999991	1.86069800	-0.43491630
3.75999991	1.90498900	-0.43491630
3.77999990	1.86069800	-0.43491630
3.79999990	1.86069800	-0.43491630
3.81999990	1.90498900	-0.52196110
3.83999990	1.90498900	-0.52196110
3.85999990	1.90498900	-0.52196110
3.87999990	1.94928000	-0.52196110
3.89999990	1.94928000	-0.52196110
3.91999990	1.94928000	-0.60900590
3.93999990	1.99357200	-0.60900590
3.95999990	1.99357200	-0.60900590
3.97999990	2.03786300	-0.60900590
3.99999990	1.99357200	-0.60900590
4.01999990	2.03786300	-0.69605070
4.03999990	2.03786300	-0.69605070
4.05999990	2.03786300	-0.69605070
4.07999990	2.03786300	-0.69605070
4.09999990	2.03786300	-0.69605070
4.11999990	2.08230800	-0.78309550
4.13999990	2.08230800	-0.78309550
4.15999989	2.08230800	-0.78309550
4.17999989	2.12659900	-0.78309550
4.19999989	2.08230800	-0.78309550
4.21999989	2.12659900	-0.78309550
4.23999989	2.12659900	-0.86983270
4.25999989	2.12659900	-0.86983270
4.27999989	2.12659900	-0.86983270
4.29999989	2.08230800	-0.86983270
4.31999989	2.12659900	-0.86983270
4.33999989	2.12659900	-0.95687750
4.35999989	2.12659900	-0.95687750
4.37999989	2.17089100	-0.95687750
4.39999989	2.17089100	-0.95687750
4.41999989	2.12659900	-0.95687750
4.43999989	2.12659900	-1.04392200
4.45999989	2.17089100	-1.04392200
4.47999989	2.17089100	-1.04392200
4.49999989	2.17089100	-1.04392200
4.51999989	2.17089100	-1.04392200
4.53999989	2.17089100	-1.13096700
4.55999988	2.17089100	-1.13096700
4.57999988	2.21518200	-1.13096700
4.59999988	2.21518200	-1.13096700
4.61999988	2.17089100	-1.21801200
4.63999988	2.17089100	-1.21801200
4.65999988	2.17089100	-1.21801200
4.67999988	2.21518200	-1.21801200
4.69999988	2.21518200	-1.21801200
4.71999988	2.21518200	-1.21801200
4.73999988	2.21518200	-1.30505700
4.75999988	2.21518200	-1.30505700
4.77999988	2.21518200	-1.30505700
4.79999988	2.21518200	-1.30505700
4.81999988	2.21518200	-1.30505700
4.83999988	2.21518200	-1.39210100
4.85999988	2.21518200	-1.39210100
4.87999988	2.21518200	-1.39210100
4.89999988	2.21518200	-1.39210100
4.91999988	2.21518200	-1.39210100
4.93999988	2.21518200	-1.47914600
4.95999987	2.21518200	-1.47914600
4.97999987	2.21518200	-1.47914600
4.99999987	2.25947300	-1.47914600
5.01999987	2.25947300	-1.56619100
5.03999987	2.25947300	-1.56619100
5.05999987	2.25947300	-1.56619100
5.07999987	2.25947300	-1.56619100
5.09999987	2.25947300	-1.65323600
5.11999987	2.25947300	-1.56619100
5.13999987	2.25947300	-1.65323600
5.15999987	2.25947300	-1.65323600
5.17999987	2.25947300	-1.65323600
5.19999987	2.25947300	-1.65323600
5.21999987	2.25947300	-1.73997300
5.23999987	2.30376500	-1.73997300
5.25999987	2.30376500	-1.73997300
5.27999987	2.25947300	-1.73997300
5.29999987	2.25947300	-1.73997300
5.31999987	2.25947300	-1.73997300
5.33999987	2.25947300	-1.82701800
5.35999986	2.25947300	-1.82701800
5.37999986	2.30376500	-1.82701800
5.39999986	2.30376500	-1.82701800
5.41999986	2.30376500	-1.82701800
