Frequency	Channel A	Channel B
(ms)	(V)	(mV)

1.48999996	0.62023250	-6.89745300
1.49999996	0.62023250	-7.32806300
1.50999996	0.62023250	-7.32806300
1.51999996	0.62023250	-8.19082200
1.52999996	0.62023250	-8.62143100
1.53999996	0.62023250	-9.05204100
1.54999996	0.62023250	-9.48419000
1.55999996	0.62023250	-9.91480000
1.56999996	0.66452380	-10.34541000
1.57999996	0.66452380	-10.77756000
1.58999996	0.66452380	-11.20817000
1.59999996	0.66452380	-11.63878000
1.60999996	0.66452380	-12.50154000
1.61999996	0.66452380	-12.93215000
1.62999996	0.70881520	-13.36276000
1.63999996	0.70881520	-13.79491000
1.64999996	0.70881520	-14.22552000
1.65999996	0.66452380	-14.65613000
1.66999996	0.70881520	-15.08827000
1.67999996	0.70881520	-15.51888000
1.68999996	0.70881520	-16.38164000
1.69999996	0.75310650	-16.38164000
1.70999996	0.75310650	-17.24286000
1.71999996	0.75310650	-17.67501000
1.72999996	0.75310650	-18.10562000
1.73999996	0.79739790	-18.96838000
1.74999996	0.79739790	-19.39899000
1.75999996	0.75310650	-19.82960000
1.76999996	0.79739790	-20.26175000
1.77999996	0.79739790	-20.69236000
1.78999995	0.75310650	-21.12297000
1.79999995	0.79739790	-21.55512000
1.80999995	0.79739790	-22.41634000
1.81999995	0.79739790	-22.84695000
1.82999995	0.84168920	-23.27909000
1.83999995	0.84168920	-23.70971000
1.84999995	0.84168920	-24.57246000
1.85999995	0.88598050	-24.57246000
1.86999995	0.84168920	-25.43368000
1.87999995	0.84168920	-25.86583000
1.88999995	0.88598050	-26.29644000
1.89999995	0.88598050	-26.72705000
1.90999995	0.88598050	-27.15920000
1.91999995	0.88598050	-27.58981000
1.92999995	0.88598050	-28.02042000
1.93999995	0.88598050	-28.45257000
1.94999995	0.93027190	-28.88318000
1.95999995	0.93027190	-29.31379000
1.96999995	0.93027190	-30.17655000
1.97999995	0.93027190	-30.17655000
1.98999995	0.97456320	-31.03931000
1.99999995	0.93027190	-31.03931000
2.00999995	0.93027190	-31.46992000
2.01999995	0.97456320	-31.46992000
2.02999995	0.97456320	-31.90053000
2.03999995	0.97456320	-32.33268000
2.04999995	0.97456320	-32.76329000
2.05999995	0.97456320	-32.76329000
2.06999995	0.97456320	-33.19390000
2.07999995	1.01885500	-33.62450000
2.08999995	1.01885500	-33.62450000
2.09999995	1.01885500	-33.62450000
2.10999995	1.01885500	-34.05666000
2.11999995	1.01885500	-34.48726000
2.12999995	1.06330000	-34.48726000
2.13999995	1.01885500	-34.05666000
2.14999995	1.06330000	-34.48726000
2.15999995	1.06330000	-34.48726000
2.16999995	1.06330000	-34.48726000
2.17999994	1.06330000	-34.48726000
2.18999994	1.06330000	-34.48726000
2.19999994	1.10759100	-34.48726000
2.20999994	1.06330000	-34.48726000
2.21999994	1.15188200	-34.05666000
2.22999994	1.15188200	-34.05666000
2.23999994	1.10759100	-34.05666000
2.24999994	1.10759100	-33.62450000
2.25999994	1.15188200	-33.62450000
2.26999994	1.15188200	-33.62450000
2.27999994	1.15188200	-33.19390000
2.28999994	1.15188200	-32.76329000
2.29999994	1.15188200	-32.33268000
2.30999994	1.19617400	-32.33268000
2.31999994	1.15188200	-32.33268000
2.32999994	1.19617400	-31.90053000
2.33999994	1.15188200	-31.46992000
2.34999994	1.19617400	-31.03931000
2.35999994	1.19617400	-31.03931000
2.36999994	1.19617400	-30.17655000
2.37999994	1.19617400	-29.74594000
2.38999994	1.24046500	-29.31379000
2.39999994	1.24046500	-28.88318000
2.40999994	1.19617400	-28.45257000
2.41999994	1.28475600	-28.02042000
2.42999994	1.24046500	-27.58981000
2.43999994	1.28475600	-27.58981000
2.44999994	1.24046500	-26.72705000
2.45999994	1.28475600	-26.29644000
2.46999994	1.28475600	-25.86583000
2.47999994	1.28475600	-25.00307000
2.48999994	1.28475600	-24.57246000
2.49999994	1.28475600	-24.57246000
2.50999994	1.28475600	-23.70971000
2.51999994	1.32904800	-22.84695000
2.52999994	1.32904800	-22.41634000
2.53999994	1.32904800	-22.41634000
2.54999994	1.32904800	-21.55512000
2.55999994	1.32904800	-21.12297000
2.56999994	1.37333900	-20.26175000
2.57999993	1.41763000	-19.82960000
2.58999993	1.37333900	-19.39899000
2.59999993	1.37333900	-18.96838000
2.60999993	1.37333900	-18.10562000
2.61999993	1.37333900	-17.24286000
2.62999993	1.41763000	-17.24286000
2.63999993	1.41763000	-16.38164000
2.64999993	1.37333900	-15.94949000
2.65999993	1.41763000	-15.51888000
2.66999993	1.41763000	-14.65613000
2.67999993	1.41763000	-14.22552000
2.68999993	1.46192200	-13.79491000
2.69999993	1.46192200	-13.36276000
2.70999993	1.46192200	-12.50154000
2.71999993	1.46192200	-12.06939000
2.72999993	1.46192200	-11.63878000
2.73999993	1.46192200	-10.77756000
2.74999993	1.50621300	-10.34541000
2.75999993	1.50621300	-10.34541000
2.76999993	1.50621300	-9.91480000
2.77999993	1.50621300	-9.48419000
2.78999993	1.50621300	-8.62143100
2.79999993	1.50621300	-8.19082200
2.80999993	1.55065800	-7.75867300
2.81999993	1.50621300	-7.32806300
2.82999993	1.50621300	-6.89745300
2.83999993	1.55065800	-6.46530500
2.84999993	1.55065800	-6.03469500
2.85999993	1.55065800	-5.60408400
2.86999993	1.55065800	-4.74132600
2.87999993	1.55065800	-4.74132600
2.88999993	1.59495000	-4.31071600
2.89999993	1.59495000	-3.44795700
2.90999993	1.59495000	-3.44795700
2.91999993	1.59495000	-3.01734700
2.92999993	1.59495000	-2.58519900
2.93999993	1.59495000	-2.15458900
2.94999993	1.59495000	-1.29183100
2.95999993	1.59495000	-1.29183100
2.96999992	1.63924100	-0.86122040
2.97999992	1.63924100	-0.43061020
2.98999992	1.63924100	0.00000000
2.99999992	1.63924100	0.00000000
3.00999992	1.68353200	0.43061020
3.01999992	1.68353200	1.29183100
3.02999992	1.68353200	1.29183100
3.03999992	1.63924100	1.72397900
3.04999992	1.68353200	1.72397900
3.05999992	1.72782400	2.15458900
3.06999992	1.68353200	2.58519900
3.07999992	1.72782400	2.58519900
3.08999992	1.72782400	3.01734700
3.09999992	1.72782400	3.44795700
3.10999992	1.72782400	3.44795700
3.11999992	1.77211500	3.44795700
3.12999992	1.72782400	4.31071600
3.13999992	1.72782400	4.31071600
3.14999992	1.72782400	4.74132600
3.15999992	1.77211500	5.17193600
3.16999992	1.77211500	5.17193600
3.17999992	1.77211500	5.17193600
3.18999992	1.77211500	5.60408400
3.19999992	1.81640600	6.03469500
3.20999992	1.81640600	6.03469500
3.21999992	1.81640600	6.46530500
3.22999992	1.81640600	6.46530500
3.23999992	1.81640600	6.46530500
3.24999992	1.81640600	6.89745300
3.25999992	1.86069800	6.89745300
3.26999992	1.81640600	7.32806300
3.27999992	1.86069800	7.32806300
3.28999992	1.81640600	7.32806300
3.29999992	1.86069800	7.75867300
3.30999992	1.86069800	7.75867300
3.31999992	1.86069800	7.75867300
3.32999992	1.90498900	7.75867300
3.33999992	1.90498900	7.75867300
3.34999992	1.90498900	8.19082200
3.35999992	1.90498900	8.19082200
3.36999991	1.90498900	8.19082200
3.37999991	1.94928000	8.19082200
3.38999991	1.90498900	8.62143100
3.39999991	1.90498900	8.19082200
3.40999991	1.94928000	8.62143100
3.41999991	1.94928000	8.62143100
3.42999991	1.90498900	8.62143100
3.43999991	1.90498900	8.62143100
3.44999991	1.90498900	9.05204100
3.45999991	1.94928000	9.05204100
3.46999991	1.90498900	9.05204100
3.47999991	1.94928000	9.05204100
3.48999991	1.90498900	9.05204100
3.49999991	1.86069800	9.05204100
3.50999991	1.90498900	9.05204100
3.51999991	1.86069800	9.05204100
3.52999991	1.86069800	9.05204100
3.53999991	1.81640600	9.05204100
3.54999991	1.86069800	9.48419000
3.55999991	1.81640600	9.48419000
3.56999991	1.81640600	9.05204100
3.57999991	1.81640600	9.48419000
3.58999991	1.81640600	9.48419000
3.59999991	1.81640600	9.48419000
3.60999991	1.81640600	9.48419000
3.61999991	1.81640600	9.48419000
3.62999991	1.77211500	9.48419000
3.63999991	1.81640600	9.48419000
3.64999991	1.77211500	9.91480000
3.65999991	1.77211500	9.48419000
3.66999991	1.77211500	9.91480000
3.67999991	1.72782400	9.91480000
3.68999991	1.77211500	9.91480000
3.69999991	1.72782400	9.91480000
3.70999991	1.72782400	10.34541000
3.71999991	1.72782400	9.91480000
3.72999991	1.72782400	10.34541000
3.73999991	1.72782400	10.34541000
3.74999991	1.72782400	10.34541000
3.75999991	1.68353200	10.34541000
3.76999990	1.68353200	10.34541000
3.77999990	1.68353200	10.34541000
3.78999990	1.68353200	10.77756000
3.79999990	1.68353200	10.77756000
3.80999990	1.63924100	10.77756000
3.81999990	1.63924100	10.77756000
3.82999990	1.63924100	10.77756000
3.83999990	1.63924100	10.77756000
3.84999990	1.59495000	11.20817000
3.85999990	1.63924100	11.20817000
3.86999990	1.59495000	11.20817000
3.87999990	1.59495000	11.63878000
3.88999990	1.59495000	11.20817000
3.89999990	1.59495000	11.63878000
3.90999990	1.59495000	11.63878000
3.91999990	1.55065800	11.63878000
3.92999990	1.59495000	11.20817000
3.93999990	1.55065800	11.63878000
3.94999990	1.55065800	11.63878000
3.95999990	1.55065800	12.06939000
3.96999990	1.55065800	12.06939000
3.97999990	1.55065800	12.06939000
3.98999990	1.55065800	12.06939000
3.99999990	1.50621300	12.06939000
4.00999990	1.55065800	12.50154000
4.01999990	1.50621300	12.06939000
4.02999990	1.50621300	12.06939000
4.03999990	1.50621300	12.50154000
4.04999990	1.50621300	12.50154000
4.05999990	1.50621300	12.50154000
4.06999990	1.46192200	12.93215000
4.07999990	1.46192200	12.93215000
4.08999990	1.46192200	12.93215000
4.09999990	1.41763000	12.93215000
4.10999990	1.46192200	12.93215000
4.11999990	1.46192200	12.93215000
4.12999990	1.41763000	12.93215000
4.13999990	1.41763000	12.93215000
4.14999990	1.41763000	12.93215000
4.15999989	1.41763000	12.93215000
4.16999989	1.41763000	12.93215000
4.17999989	1.41763000	12.93215000
4.18999989	1.37333900	12.93215000
4.19999989	1.37333900	12.93215000
4.20999989	1.37333900	13.36276000
4.21999989	1.37333900	13.36276000
4.22999989	1.32904800	13.36276000
4.23999989	1.37333900	13.36276000
4.24999989	1.32904800	13.36276000
4.25999989	1.32904800	13.36276000
4.26999989	1.32904800	13.36276000
4.27999989	1.32904800	13.36276000
4.28999989	1.32904800	13.36276000
4.29999989	1.28475600	12.93215000
4.30999989	1.28475600	13.36276000
4.31999989	1.28475600	13.36276000
4.32999989	1.28475600	13.79491000
4.33999989	1.28475600	13.36276000
4.34999989	1.28475600	13.36276000
4.35999989	1.28475600	13.79491000
4.36999989	1.24046500	13.79491000
4.37999989	1.24046500	13.36276000
4.38999989	1.24046500	13.79491000
4.39999989	1.24046500	13.36276000
4.40999989	1.19617400	13.36276000
4.41999989	1.24046500	13.36276000
4.42999989	1.24046500	13.36276000
4.43999989	1.19617400	12.93215000
4.44999989	1.19617400	12.93215000
4.45999989	1.19617400	12.93215000
4.46999989	1.19617400	12.93215000
4.47999989	1.19617400	12.50154000
4.48999989	1.15188200	12.93215000
4.49999989	1.15188200	12.50154000
4.50999989	1.19617400	12.93215000
4.51999989	1.15188200	12.50154000
4.52999989	1.15188200	12.50154000
4.53999989	1.10759100	12.50154000
4.54999989	1.10759100	12.50154000
4.55999988	1.10759100	12.06939000
4.56999988	1.15188200	12.06939000
4.57999988	1.10759100	11.63878000
4.58999988	1.10759100	11.63878000
4.59999988	1.06330000	11.63878000
4.60999988	1.06330000	11.63878000
4.61999988	1.06330000	11.63878000
4.62999988	1.06330000	11.20817000
4.63999988	1.06330000	11.20817000
4.64999988	1.06330000	10.77756000
4.65999988	1.01885500	10.77756000
4.66999988	1.06330000	10.77756000
4.67999988	1.01885500	10.34541000
4.68999988	1.06330000	10.34541000
4.69999988	1.06330000	10.34541000
4.70999988	1.01885500	9.91480000
4.71999988	1.01885500	9.91480000
4.72999988	0.97456320	9.48419000
4.73999988	0.97456320	9.05204100
4.74999988	0.97456320	9.05204100
4.75999988	0.97456320	9.05204100
4.76999988	0.97456320	9.05204100
4.77999988	0.97456320	8.62143100
4.78999988	0.97456320	8.19082200
4.79999988	0.93027190	7.75867300
4.80999988	0.93027190	7.32806300
4.81999988	0.93027190	7.32806300
4.82999988	0.93027190	7.32806300
4.83999988	0.88598050	6.89745300
4.84999988	0.93027190	6.46530500
4.85999988	0.93027190	6.46530500
4.86999988	0.88598050	6.03469500
4.87999988	0.88598050	5.60408400
4.88999988	0.88598050	5.17193600
4.89999988	0.84168920	5.17193600
4.90999988	0.88598050	5.17193600
4.91999988	0.84168920	4.74132600
4.92999988	0.84168920	4.31071600
4.93999988	0.79739790	3.87856800
4.94999987	0.79739790	3.44795700
4.95999987	0.84168920	3.44795700
4.96999987	0.75310650	3.01734700
4.97999987	0.79739790	2.58519900
4.98999987	0.79739790	2.15458900
4.99999987	0.79739790	1.72397900
5.00999987	0.79739790	1.72397900
5.01999987	0.75310650	1.29183100
5.02999987	0.79739790	0.86122040
5.03999987	0.75310650	0.43061020
5.04999987	0.75310650	0.00000000
5.05999987	0.75310650	-0.43061020
