FLMS05814_1:101		
188.012	-24.14	
188.47	-24.14	
188.927	-24.14	
189.385	-129.46	
189.842	-106.06	
190.3	-94.35	
190.757	-120.1	
191.215	-77.97	
191.672	-96.69	
192.129	-14.77	
192.586	-12.43	
193.044	-73.29	
193.501	-80.31	
193.958	-0.73	
194.415	-14.77	
194.872	97.57	
195.329	62.46	
195.787	46.08	
196.244	137.36	
196.7	60.12	
197.157	181.83	
197.614	92.89	
198.071	198.21	
198.528	233.32	
198.985	317.58	
199.441	406.52	
199.898	277.79	
200.355	357.37	
200.812	366.73	
201.268	348.01	
201.725	359.71	
202.181	434.61	
202.638	413.54	
203.094	380.78	
203.551	479.08	
204.007	415.88	
204.463	472.06	
204.92	497.8	
205.376	518.87	
205.832	436.95	
206.288	448.65	
206.744	467.38	
207.201	436.95	
207.657	490.78	
208.113	500.14	
208.569	427.59	
209.025	422.91	
209.481	453.33	
209.937	406.52	
210.392	420.57	
210.848	462.69	
211.304	418.22	
211.76	462.69	
212.215	387.8	
212.671	460.35	
213.127	411.2	
213.582	472.06	
214.038	472.06	
214.494	373.75	
214.949	450.99	
215.404	441.63	
215.86	448.65	
216.315	392.48	
216.771	371.41	
217.226	488.44	
217.681	455.67	
218.136	399.5	
218.592	469.72	
219.047	462.69	
219.502	422.91	
219.957	448.65	
220.412	439.29	
220.867	469.72	
221.322	448.65	
221.777	371.41	
222.232	460.35	
222.687	390.14	
223.142	390.14	
223.596	385.46	
224.051	472.06	
224.506	432.27	
224.96	387.8	
225.415	387.8	
225.87	432.27	
226.324	504.82	
226.779	474.4	
227.233	411.2	
227.688	415.88	
228.142	432.27	
228.597	394.82	
229.051	532.91	
229.505	493.12	
229.959	448.65	
230.414	455.67	
230.868	432.27	
231.322	394.82	
231.776	397.16	
232.23	469.72	
232.684	500.14	
233.138	497.8	
233.592	394.82	
234.046	401.84	
234.5	493.12	
234.954	415.88	
235.408	422.91	
235.861	432.27	
236.315	539.93	
236.769	458.01	
237.222	486.1	
237.676	455.67	
238.13	436.95	
238.583	429.93	
239.037	493.12	
239.49	465.04	
239.944	364.39	
240.397	443.97	
240.85	474.4	
241.304	420.57	
241.757	458.01	
242.21	516.53	
242.663	453.33	
243.117	472.06	
243.57	450.99	
244.023	436.95	
244.476	455.67	
244.929	490.78	
245.382	411.2	
245.835	465.04	
246.288	439.29	
246.741	467.38	
247.193	420.57	
247.646	544.61	
