
Channel B
Time	 Value
(ns)	(mV)
-20000	1520
-19960	1479
-19920	1479
-19880	1435
-19840	1393
-19800	1352
-19760	1308
-19720	1308
-19680	1266
-19640	1266
-19600	1225
-19560	1181
-19520	1181
-19480	1139
-19440	1139
-19400	1098
-19360	1098
-19320	1056
-19280	1012
-19240	1012
-19200	971
-19160	929
-19120	929
-19080	929
-19040	844
-19000	844
-18960	844
-18920	802
-18880	758
-18840	758
-18800	717
-18760	675
-18720	675
-18680	631
-18640	631
-18600	631
-18560	590
-18520	548
-18480	548
-18440	504
-18400	504
-18360	463
-18320	463
-18280	463
-18240	421
-18200	377
-18160	377
-18120	377
-18080	336
-18040	336
-18000	294
-17960	294
-17920	294
-17880	294
-17840	250
-17800	250
-17760	209
-17720	209
-17680	209
-17640	209
-17600	167
-17560	167
-17520	167
-17480	123
-17440	123
-17400	123
-17360	82
-17320	82
-17280	82
-17240	82
-17200	82
-17160	82
-17120	40
-17080	82
-17040	40
-17000	40
-16960	40
-16920	-1
-16880	40
