Time	Channel A	Channel B
(ms)	(V)	(V)

0.00000000	1.37333900	0.86983270
0.02000000	1.37333900	0.86983270
0.04000000	1.41763000	0.86983270
0.06000000	1.46192200	0.86983270
0.08000000	1.46192200	0.78309550
0.10000000	1.46192200	0.78309550
0.12000000	1.50621300	0.78309550
0.14000000	1.55065800	0.78309550
0.16000000	1.55065800	0.78309550
0.18000000	1.59495000	0.69605070
0.19999999	1.63924100	0.69605070
0.21999999	1.68353200	0.69605070
0.23999999	1.72782400	0.69605070
0.25999999	1.72782400	0.60900590
0.27999999	1.77211500	0.60900590
0.29999999	1.81640600	0.60900590
0.31999999	1.86069800	0.60900590
0.33999999	1.90498900	0.60900590
0.35999999	1.94928000	0.52196110
0.37999999	1.99357200	0.52196110
0.39999999	1.99357200	0.52196110
0.41999999	2.08230800	0.52196110
0.43999999	2.12659900	0.43491630
0.45999999	2.17089100	0.43491630
0.47999999	2.21518200	0.43491630
0.49999999	2.25947300	0.43491630
0.51999999	2.30376500	0.34787150
0.53999999	2.34805600	0.34787150
0.55999999	2.39234700	0.34787150
0.57999999	2.43663900	0.34787150
0.59999998	2.43663900	0.26082680
0.61999998	2.52522100	0.26082680
0.63999998	2.56951300	0.26082680
0.65999998	2.56951300	0.26082680
0.67999998	2.61395800	0.26082680
0.69999998	2.65824900	0.17378200
0.71999998	2.70254100	0.17378200
0.73999998	2.70254100	0.17378200
0.75999998	2.70254100	0.08673721
0.77999998	2.74683200	0.08673721
0.79999998	2.79112300	0.08673721
0.81999998	2.83541500	0.08673721
0.83999998	2.87970600	0.08673721
0.85999998	2.83541500	0.00000000
0.87999998	2.87970600	0.00000000
0.89999998	2.87970600	0.00000000
0.91999998	2.87970600	-0.08673721
0.93999998	2.87970600	-0.08673721
0.95999998	2.92399700	-0.08673721
0.97999998	2.92399700	-0.08673721
0.99999997	2.92399700	-0.08673721
1.01999997	2.92399700	-0.08673721
1.03999997	2.87970600	-0.17378200
1.05999997	2.87970600	-0.17378200
1.07999997	2.87970600	-0.17378200
1.09999997	2.87970600	-0.17378200
1.11999997	2.87970600	-0.26082680
1.13999997	2.87970600	-0.26082680
1.15999997	2.87970600	-0.26082680
1.17999997	2.87970600	-0.26082680
1.19999997	2.87970600	-0.34787150
1.21999997	2.83541500	-0.34787150
1.23999997	2.83541500	-0.34787150
1.25999997	2.83541500	-0.34787150
1.27999997	2.79112300	-0.34787150
1.29999997	2.83541500	-0.34787150
1.31999997	2.79112300	-0.34787150
1.33999997	2.79112300	-0.43491630
1.35999997	2.79112300	-0.43491630
1.37999997	2.79112300	-0.43491630
1.39999996	2.74683200	-0.43491630
1.41999996	2.74683200	-0.43491630
1.43999996	2.79112300	-0.52196110
1.45999996	2.74683200	-0.52196110
1.47999996	2.74683200	-0.52196110
1.49999996	2.74683200	-0.52196110
1.51999996	2.70254100	-0.60900590
1.53999996	2.70254100	-0.60900590
1.55999996	2.70254100	-0.60900590
1.57999996	2.70254100	-0.60900590
1.59999996	2.65824900	-0.60900590
1.61999996	2.70254100	-0.69605070
1.63999996	2.65824900	-0.69605070
1.65999996	2.70254100	-0.69605070
1.67999996	2.65824900	-0.69605070
1.69999996	2.65824900	-0.69605070
1.71999996	2.65824900	-0.69605070
1.73999996	2.65824900	-0.78309550
1.75999996	2.65824900	-0.78309550
1.77999996	2.61395800	-0.78309550
1.79999995	2.65824900	-0.86983270
1.81999995	2.61395800	-0.86983270
1.83999995	2.61395800	-0.86983270
1.85999995	2.61395800	-0.86983270
1.87999995	2.61395800	-0.86983270
1.89999995	2.61395800	-0.86983270
1.91999995	2.65824900	-0.95687750
1.93999995	2.61395800	-0.95687750
1.95999995	2.61395800	-0.95687750
1.97999995	2.56951300	-0.95687750
1.99999995	2.56951300	-0.95687750
2.01999995	2.61395800	-1.04392200
2.03999995	2.61395800	-1.04392200
2.05999995	2.56951300	-1.04392200
2.07999995	2.56951300	-1.04392200
2.09999995	2.56951300	-1.13096700
2.11999995	2.56951300	-1.13096700
2.13999995	2.56951300	-1.13096700
2.15999995	2.56951300	-1.13096700
2.17999994	2.56951300	-1.21801200
2.19999994	2.56951300	-1.13096700
2.21999994	2.56951300	-1.21801200
2.23999994	2.56951300	-1.21801200
2.25999994	2.56951300	-1.21801200
2.27999994	2.52522100	-1.21801200
2.29999994	2.56951300	-1.30505700
2.31999994	2.56951300	-1.21801200
2.33999994	2.52522100	-1.30505700
2.35999994	2.56951300	-1.30505700
2.37999994	2.52522100	-1.30505700
2.39999994	2.56951300	-1.30505700
2.41999994	2.52522100	-1.39210100
