Time	Channel A	Channel B
(ms)	(V)	(V)

0.00000000	1.99357200	3.13238200
0.02000000	2.03786300	3.13238200
0.04000000	2.08230800	3.21942700
0.06000000	2.08230800	3.21942700
0.08000000	2.08230800	3.21942700
0.10000000	2.12659900	3.21942700
0.12000000	2.17089100	3.21942700
0.14000000	2.21518200	3.30647100
0.16000000	2.25947300	3.30647100
0.18000000	2.25947300	3.30647100
0.19999999	2.30376500	3.30647100
0.21999999	2.34805600	3.39351600
0.23999999	2.34805600	3.39351600
0.25999999	2.39234700	3.39351600
0.27999999	2.43663900	3.39351600
0.29999999	2.43663900	3.39351600
0.31999999	2.48093000	3.48025300
0.33999999	2.52522100	3.48025300
0.35999999	2.52522100	3.56729800
0.37999999	2.52522100	3.48025300
0.39999999	2.56951300	3.56729800
0.41999999	2.56951300	3.56729800
0.43999999	2.61395800	3.56729800
0.45999999	2.61395800	3.65434300
0.47999999	2.65824900	3.65434300
0.49999999	2.65824900	3.65434300
0.51999999	2.65824900	3.65434300
0.53999999	2.70254100	3.74138800
0.55999999	2.70254100	3.74138800
0.57999999	2.70254100	3.74138800
0.59999998	2.70254100	3.74138800
0.61999998	2.70254100	3.74138800
0.63999998	2.74683200	3.82843300
0.65999998	2.74683200	3.82843300
0.67999998	2.74683200	3.82843300
0.69999998	2.74683200	3.82843300
0.71999998	2.70254100	3.82843300
0.73999998	2.70254100	3.91547700
0.75999998	2.74683200	3.91547700
0.77999998	2.70254100	3.91547700
0.79999998	2.70254100	3.91547700
0.81999998	2.65824900	4.00252200
0.83999998	2.65824900	4.00252200
0.85999998	2.70254100	4.00252200
0.87999998	2.65824900	4.00252200
0.89999998	2.65824900	4.00252200
0.91999998	2.61395800	4.08956700
0.93999998	2.61395800	4.08956700
0.95999998	2.61395800	4.08956700
0.97999998	2.56951300	4.08956700
0.99999997	2.52522100	4.17661200
1.01999997	2.52522100	4.17661200
1.03999997	2.52522100	4.17661200
1.05999997	2.48093000	4.26365700
1.07999997	2.43663900	4.26365700
1.09999997	2.43663900	4.26365700
1.11999997	2.39234700	4.26365700
1.13999997	2.34805600	4.26365700
1.15999997	2.34805600	4.35039400
1.17999997	2.30376500	4.35039400
1.19999997	2.25947300	4.35039400
1.21999997	2.25947300	4.43743800
1.23999997	2.21518200	4.35039400
1.25999997	2.17089100	4.43743800
1.27999997	2.12659900	4.43743800
1.29999997	2.12659900	4.43743800
1.31999997	2.08230800	4.52448300
1.33999997	2.08230800	4.52448300
1.35999997	2.03786300	4.52448300
1.37999997	1.99357200	4.52448300
1.39999996	1.99357200	4.61152800
1.41999996	1.90498900	4.61152800
1.43999996	1.90498900	4.61152800
1.45999996	1.86069800	4.61152800
1.47999996	1.81640600	4.61152800
1.49999996	1.81640600	4.69857300
1.51999996	1.72782400	4.69857300
1.53999996	1.72782400	4.69857300
1.55999996	1.72782400	4.69857300
1.57999996	1.68353200	4.78561800
1.59999996	1.68353200	4.78561800
1.61999996	1.63924100	4.78561800
1.63999996	1.59495000	4.78561800
1.65999996	1.59495000	4.78561800
1.67999996	1.59495000	4.87266300
1.69999996	1.55065800	4.87266300
1.71999996	1.55065800	4.87266300
1.73999996	1.55065800	4.87266300
1.75999996	1.50621300	4.95970700
1.77999996	1.50621300	4.95970700
1.79999995	1.46192200	4.87266300
1.81999995	1.46192200	4.87266300
1.83999995	1.46192200	4.87266300
1.85999995	1.46192200	4.87266300
1.87999995	1.41763000	4.78561800
1.89999995	1.41763000	4.78561800
1.91999995	1.41763000	4.78561800
1.93999995	1.37333900	4.78561800
1.95999995	1.37333900	4.78561800
1.97999995	1.37333900	4.69857300
1.99999995	1.37333900	4.69857300
2.01999995	1.37333900	4.69857300
2.03999995	1.32904800	4.61152800
2.05999995	1.32904800	4.61152800
2.07999995	1.32904800	4.61152800
2.09999995	1.32904800	4.61152800
2.11999995	1.28475600	4.61152800
2.13999995	1.32904800	4.52448300
2.15999995	1.28475600	4.52448300
2.17999994	1.28475600	4.52448300
2.19999994	1.24046500	4.52448300
2.21999994	1.24046500	4.43743800
2.23999994	1.28475600	4.43743800
2.25999994	1.24046500	4.43743800
2.27999994	1.24046500	4.35039400
2.29999994	1.19617400	4.35039400
2.31999994	1.19617400	4.35039400
2.33999994	1.24046500	4.35039400
2.35999994	1.19617400	4.26365700
2.37999994	1.24046500	4.35039400
2.39999994	1.19617400	4.26365700
2.41999994	1.19617400	4.26365700
2.43999994	1.19617400	4.26365700
2.45999994	1.24046500	4.26365700
2.47999994	1.24046500	4.17661200
2.49999994	1.19617400	4.17661200
