Frequency	Channel A	Channel B
(ms)	(V)	(mV)

-1.01000001	-1.94912600	2.58612200
-1.00000001	-1.94912600	2.41387800
-0.99000001	-1.94912600	2.41387800
-0.98000001	-1.86054400	2.58612200
-0.97000001	-1.86054400	2.41387800
-0.96000001	-1.86054400	2.41387800
-0.95000001	-1.86054400	2.58612200
-0.94000001	-1.86054400	2.41387800
-0.93000001	-1.77196100	2.24163400
-0.92000001	-1.77196100	2.24163400
-0.91000001	-1.77196100	2.24163400
-0.90000001	-1.77196100	2.24163400
-0.89000001	-1.77196100	2.24163400
-0.88000001	-1.68337800	2.41387800
-0.87000001	-1.68337800	2.24163400
-0.86000001	-1.68337800	2.24163400
-0.85000001	-1.68337800	2.58612200
-0.84000001	-1.59479600	2.58612200
-0.83000001	-1.59479600	2.58612200
-0.82000001	-1.59479600	2.58612200
-0.81000001	-1.59479600	2.06877400
-0.80000001	-1.59479600	2.24163400
-0.79000001	-1.50621300	2.58612200
-0.78000001	-1.50621300	2.58612200
-0.77000001	-1.50621300	2.58612200
-0.76000001	-1.50621300	2.41387800
-0.75000001	-1.50621300	2.24163400
-0.74000001	-1.41763000	2.41387800
-0.73000001	-1.41763000	2.41387800
-0.72000001	-1.41763000	2.58612200
-0.71000001	-1.41763000	2.75898100
-0.70000002	-1.32904800	2.75898100
-0.69000002	-1.32904800	2.75898100
-0.68000002	-1.32904800	2.58612200
-0.67000002	-1.32904800	2.75898100
-0.66000002	-1.32904800	2.41387800
-0.65000002	-1.32904800	2.75898100
-0.64000002	-1.24046500	2.58612200
-0.63000002	-1.24046500	2.58612200
-0.62000002	-1.24046500	2.75898100
-0.61000002	-1.24046500	2.58612200
-0.60000002	-1.15188200	2.93122500
-0.59000002	-1.15188200	2.93122500
-0.58000002	-1.15188200	2.75898100
-0.57000002	-1.15188200	2.58612200
-0.56000002	-1.06330000	2.75898100
-0.55000002	-1.15188200	3.10346900
-0.54000002	-1.06330000	2.75898100
-0.53000002	-1.06330000	3.10346900
-0.52000002	-1.06330000	3.10346900
-0.51000002	-1.06330000	3.10346900
-0.50000002	-0.97440950	2.93122500
-0.49000002	-0.97440950	3.10346900
-0.48000002	-0.97440950	3.44857300
-0.47000002	-0.97440950	3.10346900
-0.46000002	-0.88582680	3.27632900
-0.45000002	-0.88582680	3.10346900
-0.44000002	-0.88582680	3.27632900
-0.43000002	-0.88582680	3.62081700
-0.42000002	-0.88582680	3.10346900
-0.41000002	-0.79724410	3.10346900
-0.40000002	-0.79724410	3.10346900
-0.39000002	-0.79724410	3.27632900
-0.38000002	-0.79724410	3.44857300
-0.37000002	-0.70866140	3.62081700
-0.36000002	-0.70866140	3.44857300
-0.35000002	-0.70866140	3.27632900
-0.34000002	-0.70866140	3.44857300
-0.33000002	-0.70866140	3.27632900
-0.32000002	-0.62007870	3.62081700
-0.31000002	-0.62007870	3.44857300
-0.30000003	-0.62007870	3.62081700
-0.29000003	-0.62007870	3.62081700
-0.28000003	-0.62007870	3.44857300
-0.27000003	-0.53149600	3.96592000
-0.26000003	-0.53149600	3.44857300
-0.25000003	-0.53149600	3.62081700
-0.24000003	-0.53149600	3.79367600
-0.23000003	-0.53149600	3.79367600
-0.22000003	-0.44291340	3.62081700
-0.21000003	-0.44291340	3.96592000
-0.20000003	-0.44291340	3.62081700
-0.19000003	-0.44291340	3.96592000
-0.18000003	-0.35433070	3.96592000
-0.17000003	-0.35433070	3.62081700
-0.16000003	-0.35433070	3.96592000
-0.15000003	-0.35433070	4.13816400
-0.14000003	-0.35433070	3.96592000
-0.13000003	-0.26574800	4.13816400
-0.12000003	-0.26574800	3.79367600
-0.11000003	-0.26574800	4.13816400
-0.10000003	-0.26574800	3.79367600
-0.09000003	-0.17716540	3.62081700
-0.08000003	-0.17716540	3.96592000
-0.07000003	-0.17716540	4.13816400
-0.06000003	-0.17716540	3.96592000
-0.05000003	-0.17716540	3.96592000
-0.04000003	-0.17716540	3.62081700
-0.03000003	-0.08858268	3.96592000
-0.02000003	-0.08858268	4.13816400
-0.01000003	-0.08858268	3.96592000
-0.00000003	0.00000000	3.62081700
0.00999997	0.00000000	3.96592000
0.01999997	0.00000000	3.96592000
0.02999997	0.00000000	3.96592000
0.03999997	0.08858268	3.62081700
0.04999997	0.08858268	3.79367600
0.05999997	0.08858268	3.62081700
0.06999997	0.08858268	3.62081700
0.07999997	0.08858268	3.44857300
0.08999996	0.17716540	3.44857300
0.09999996	0.17716540	3.62081700
0.10999996	0.17716540	3.44857300
0.11999996	0.17716540	3.10346900
0.12999996	0.26574800	2.75898100
0.13999996	0.26574800	2.75898100
0.14999996	0.26574800	2.58612200
0.15999996	0.35433070	2.24163400
0.16999996	0.35433070	1.89653000
0.17999996	0.35433070	2.06877400
0.18999996	0.35433070	1.37918300
0.19999996	0.44291340	1.37918300
0.20999996	0.44291340	1.37918300
0.21999996	0.44291340	1.03408000
0.22999996	0.44291340	0.68959150
0.23999996	0.44291340	0.34448820
0.24999996	0.53149600	0.17224410
0.25999996	0.53149600	0.00000000
0.26999996	0.53149600	-0.51673230
0.27999996	0.53149600	-0.68959150
0.28999996	0.62007870	-0.86183560
0.29999996	0.62007870	-1.20693900
0.30999996	0.62007870	-1.72428600
0.31999996	0.62007870	-1.89653000
0.32999996	0.70866140	-2.41387800
0.33999996	0.70866140	-2.75898100
0.34999996	0.70866140	-2.93122500
0.35999996	0.79724410	-3.27632900
0.36999996	0.79724410	-3.62081700
0.37999996	0.79724410	-3.96592000
0.38999996	0.79724410	-4.31102400
0.39999996	0.88582680	-4.82775500
0.40999996	0.88582680	-4.65551200
0.41999996	0.88582680	-5.17285900
0.42999996	0.88582680	-5.51796200
0.43999996	0.97440950	-6.03531000
0.44999996	0.97440950	-6.20755400
0.45999996	0.97440950	-6.55265700
0.46999996	0.97440950	-6.89714500
0.47999996	1.06330000	-7.24224900
0.48999995	1.06330000	-7.24224900
0.49999995	1.06330000	-7.58735200
0.50999995	1.06330000	-7.75959600
0.51999995	1.06330000	-7.93184000
0.52999995	1.15188200	-7.93184000
0.53999995	1.15188200	-8.44918800
0.54999995	1.15188200	-8.44918800
0.55999995	1.15188200	-8.44918800
0.56999995	1.24046500	-8.44918800
0.57999995	1.24046500	-8.44918800
0.58999995	1.24046500	-8.62204700
0.59999995	1.24046500	-8.62204700
0.60999995	1.32904800	-8.62204700
0.61999995	1.32904800	-8.79429100
0.62999995	1.32904800	-8.62204700
0.63999995	1.32904800	-8.44918800
0.64999995	1.41763000	-8.62204700
0.65999995	1.41763000	-8.44918800
0.66999995	1.41763000	-8.10469900
0.67999995	1.50621300	-7.75959600
0.68999995	1.50621300	-7.75959600
0.69999995	1.50621300	-7.75959600
0.70999995	1.50621300	-7.41449300
0.71999995	1.50621300	-6.72490100
0.72999995	1.59479600	-6.55265700
0.73999995	1.59479600	-6.55265700
0.74999995	1.59479600	-6.03531000
0.75999995	1.59479600	-5.51796200
0.76999995	1.68337800	-5.51796200
0.77999995	1.68337800	-4.65551200
0.78999995	1.68337800	-4.31102400
0.79999995	1.68337800	-3.79367600
0.80999995	1.77196100	-3.79367600
0.81999995	1.77196100	-3.10346900
0.82999995	1.77196100	-2.75898100
0.83999995	1.77196100	-2.06877400
0.84999995	1.86054400	-1.55142700
0.85999995	1.86054400	-1.55142700
0.86999995	1.86054400	-0.68959150
0.87999995	1.86054400	-0.68959150
0.88999994	1.94912600	0.17224410
0.89999994	1.94912600	0.68959150
0.90999994	1.94912600	0.86183560
0.91999994	1.94912600	1.37918300
0.92999994	2.03770900	1.89653000
0.93999994	2.03770900	2.24163400
0.94999994	2.03770900	2.75898100
