Frequency	Channel A	Channel B
(ms)	(V)	(mV)

-1.01000001	-1.59479600	-20.26175000
-1.00000001	-1.59479600	-20.26175000
-0.99000001	-1.50621300	-20.26175000
-0.98000001	-1.50621300	-20.26175000
-0.97000001	-1.50621300	-20.26175000
-0.96000001	-1.50621300	-20.26175000
-0.95000001	-1.50621300	-20.26175000
-0.94000001	-1.50621300	-20.26175000
-0.93000001	-1.50621300	-20.26175000
-0.92000001	-1.41763000	-20.69236000
-0.91000001	-1.41763000	-20.26175000
-0.90000001	-1.41763000	-20.26175000
-0.89000001	-1.41763000	-20.26175000
-0.88000001	-1.41763000	-20.26175000
-0.87000001	-1.32904800	-20.69236000
-0.86000001	-1.32904800	-20.26175000
-0.85000001	-1.32904800	-20.69236000
-0.84000001	-1.32904800	-20.26175000
-0.83000001	-1.32904800	-20.26175000
-0.82000001	-1.24046500	-20.26175000
-0.81000001	-1.24046500	-20.26175000
-0.80000001	-1.32904800	-20.26175000
-0.79000001	-1.24046500	-20.69236000
-0.78000001	-1.24046500	-20.26175000
-0.77000001	-1.24046500	-20.69236000
-0.76000001	-1.24046500	-20.69236000
-0.75000001	-1.15188200	-20.69236000
-0.74000001	-1.15188200	-20.69236000
-0.73000001	-1.15188200	-20.69236000
-0.72000001	-1.15188200	-20.69236000
-0.71000001	-1.15188200	-20.26175000
-0.70000002	-1.15188200	-20.69236000
-0.69000002	-1.06330000	-20.69236000
-0.68000002	-1.06330000	-20.69236000
-0.67000002	-1.06330000	-20.26175000
-0.66000002	-1.06330000	-21.12297000
-0.65000002	-1.06330000	-20.69236000
-0.64000002	-1.06330000	-20.69236000
-0.63000002	-0.97440950	-20.69236000
-0.62000002	-0.97440950	-21.12297000
-0.61000002	-0.97440950	-20.69236000
-0.60000002	-0.97440950	-20.69236000
-0.59000002	-0.97440950	-20.69236000
-0.58000002	-0.97440950	-21.12297000
-0.57000002	-0.88582680	-20.26175000
-0.56000002	-0.88582680	-20.69236000
-0.55000002	-0.88582680	-20.69236000
-0.54000002	-0.88582680	-20.26175000
-0.53000002	-0.88582680	-20.69236000
-0.52000002	-0.88582680	-20.69236000
-0.51000002	-0.79724410	-20.69236000
-0.50000002	-0.79724410	-21.12297000
-0.49000002	-0.79724410	-21.12297000
-0.48000002	-0.79724410	-20.69236000
-0.47000002	-0.79724410	-20.69236000
-0.46000002	-0.79724410	-21.12297000
-0.45000002	-0.70866140	-20.69236000
-0.44000002	-0.70866140	-21.12297000
-0.43000002	-0.70866140	-21.12297000
-0.42000002	-0.70866140	-20.69236000
-0.41000002	-0.70866140	-20.69236000
-0.40000002	-0.62007870	-21.12297000
-0.39000002	-0.62007870	-21.12297000
-0.38000002	-0.62007870	-20.69236000
-0.37000002	-0.62007870	-20.69236000
-0.36000002	-0.62007870	-21.12297000
-0.35000002	-0.53149600	-21.12297000
-0.34000002	-0.62007870	-20.69236000
-0.33000002	-0.53149600	-20.69236000
-0.32000002	-0.53149600	-21.12297000
-0.31000002	-0.53149600	-21.12297000
-0.30000003	-0.53149600	-21.12297000
-0.29000003	-0.44291340	-20.69236000
-0.28000003	-0.44291340	-21.12297000
-0.27000003	-0.44291340	-21.12297000
-0.26000003	-0.44291340	-21.12297000
-0.25000003	-0.44291340	-21.12297000
-0.24000003	-0.44291340	-20.69236000
-0.23000003	-0.44291340	-21.12297000
-0.22000003	-0.35433070	-20.69236000
-0.21000003	-0.35433070	-21.12297000
-0.20000003	-0.35433070	-21.12297000
-0.19000003	-0.35433070	-21.12297000
-0.18000003	-0.35433070	-21.12297000
-0.17000003	-0.35433070	-21.12297000
-0.16000003	-0.35433070	-21.12297000
-0.15000003	-0.26574800	-21.12297000
-0.14000003	-0.26574800	-21.12297000
-0.13000003	-0.26574800	-21.12297000
-0.12000003	-0.26574800	-21.12297000
-0.11000003	-0.26574800	-20.69236000
-0.10000003	-0.17716540	-20.69236000
-0.09000003	-0.17716540	-21.12297000
-0.08000003	-0.17716540	-21.12297000
-0.07000003	-0.17716540	-21.12297000
-0.06000003	-0.17716540	-21.12297000
-0.05000003	-0.08858268	-21.12297000
-0.04000003	-0.08858268	-21.55512000
-0.03000003	-0.08858268	-21.55512000
-0.02000003	-0.08858268	-21.12297000
-0.01000003	-0.08858268	-21.12297000
-0.00000003	0.00000000	-21.12297000
0.00999997	0.00000000	-21.12297000
0.01999997	0.00000000	-21.12297000
0.02999997	0.00000000	-21.12297000
0.03999997	0.00000000	-21.12297000
0.04999997	0.00000000	-21.12297000
0.05999997	0.08858268	-20.69236000
0.06999997	0.08858268	-20.69236000
0.07999997	0.08858268	-21.12297000
0.08999996	0.17716540	-20.69236000
0.09999996	0.17716540	-20.69236000
0.10999996	0.17716540	-20.69236000
0.11999996	0.17716540	-20.69236000
0.12999996	0.17716540	-20.26175000
0.13999996	0.17716540	-20.26175000
0.14999996	0.26574800	-19.82960000
0.15999996	0.26574800	-19.39899000
0.16999996	0.26574800	-19.82960000
0.17999996	0.26574800	-19.39899000
0.18999996	0.35433070	-18.53623000
0.19999996	0.35433070	-18.10562000
0.20999996	0.35433070	-18.10562000
0.21999996	0.35433070	-17.67501000
0.22999996	0.35433070	-17.24286000
0.23999996	0.44291340	-16.81225000
0.24999996	0.44291340	-16.38164000
0.25999996	0.44291340	-15.94949000
0.26999996	0.44291340	-15.51888000
0.27999996	0.44291340	-14.65613000
0.28999996	0.44291340	-14.22552000
0.29999996	0.53149600	-13.79491000
0.30999996	0.53149600	-13.36276000
0.31999996	0.53149600	-12.50154000
0.32999996	0.53149600	-11.63878000
0.33999996	0.62007870	-11.20817000
0.34999996	0.62007870	-10.77756000
0.35999996	0.62007870	-9.91480000
0.36999996	0.62007870	-9.05204100
0.37999996	0.62007870	-8.19082200
0.38999996	0.70866140	-7.75867300
0.39999996	0.70866140	-6.89745300
0.40999996	0.70866140	-6.03469500
0.41999996	0.70866140	-5.60408400
0.42999996	0.70866140	-4.74132600
0.43999996	0.79724410	-4.31071600
0.44999996	0.79724410	-3.01734700
0.45999996	0.79724410	-2.58519900
0.46999996	0.79724410	-1.72397900
0.47999996	0.88582680	-1.29183100
0.48999995	0.88582680	0.00000000
0.49999995	0.88582680	0.43061020
0.50999995	0.88582680	1.29183100
0.51999995	0.88582680	2.15458900
0.52999995	0.88582680	3.01734700
0.53999995	0.97440950	3.44795700
0.54999995	0.97440950	4.31071600
0.55999995	0.97440950	5.17193600
0.56999995	0.97440950	5.60408400
0.57999995	0.97440950	6.46530500
0.58999995	1.06330000	7.32806300
0.59999995	1.06330000	7.75867300
0.60999995	1.06330000	8.19082200
0.61999995	1.06330000	9.05204100
0.62999995	1.15188200	9.91480000
0.63999995	1.15188200	10.34541000
0.64999995	1.15188200	11.20817000
0.65999995	1.15188200	11.63878000
0.66999995	1.15188200	12.50154000
0.67999995	1.15188200	12.93215000
0.68999995	1.15188200	13.36276000
0.69999995	1.24046500	14.22552000
0.70999995	1.24046500	14.65613000
0.71999995	1.24046500	15.51888000
0.72999995	1.32904800	15.94949000
0.73999995	1.32904800	16.38164000
0.74999995	1.32904800	16.81225000
0.75999995	1.32904800	17.24286000
0.76999995	1.32904800	18.10562000
0.77999995	1.32904800	18.53623000
0.78999995	1.41763000	18.53623000
0.79999995	1.32904800	19.39899000
0.80999995	1.41763000	19.82960000
0.81999995	1.41763000	20.26175000
0.82999995	1.50621300	20.69236000
0.83999995	1.50621300	21.12297000
0.84999995	1.50621300	21.55512000
0.85999995	1.50621300	21.55512000
0.86999995	1.50621300	21.98573000
0.87999995	1.50621300	22.41634000
0.88999994	1.59479600	22.84695000
0.89999994	1.59479600	22.84695000
