Time	Channel A	Channel B
(ms)	(V)	(V)

0.00000000	2.25947300	-0.43491630
0.02000000	2.25947300	-0.43491630
0.04000000	2.34805600	-0.52196110
0.06000000	2.34805600	-0.52196110
0.08000000	2.34805600	-0.52196110
0.10000000	2.34805600	-0.52196110
0.12000000	2.39234700	-0.52196110
0.14000000	2.43663900	-0.60900590
0.16000000	2.43663900	-0.60900590
0.18000000	2.48093000	-0.60900590
0.19999999	2.43663900	-0.60900590
0.21999999	2.48093000	-0.60900590
0.23999999	2.48093000	-0.60900590
0.25999999	2.52522100	-0.69605070
0.27999999	2.52522100	-0.69605070
0.29999999	2.52522100	-0.69605070
0.31999999	2.56951300	-0.69605070
0.33999999	2.56951300	-0.69605070
0.35999999	2.61395800	-0.78309550
0.37999999	2.61395800	-0.78309550
0.39999999	2.61395800	-0.78309550
0.41999999	2.61395800	-0.78309550
0.43999999	2.61395800	-0.86983270
0.45999999	2.65824900	-0.86983270
0.47999999	2.65824900	-0.86983270
0.49999999	2.65824900	-0.86983270
0.51999999	2.70254100	-0.95687750
0.53999999	2.70254100	-0.95687750
0.55999999	2.70254100	-0.95687750
0.57999999	2.70254100	-0.95687750
0.59999998	2.70254100	-0.95687750
0.61999998	2.70254100	-0.95687750
0.63999998	2.70254100	-1.04392200
0.65999998	2.74683200	-1.04392200
0.67999998	2.74683200	-1.04392200
0.69999998	2.74683200	-1.04392200
0.71999998	2.74683200	-1.04392200
0.73999998	2.74683200	-1.13096700
0.75999998	2.74683200	-1.13096700
0.77999998	2.79112300	-1.13096700
0.79999998	2.74683200	-1.13096700
0.81999998	2.79112300	-1.13096700
0.83999998	2.79112300	-1.21801200
0.85999998	2.74683200	-1.21801200
0.87999998	2.79112300	-1.21801200
0.89999998	2.79112300	-1.21801200
0.91999998	2.79112300	-1.21801200
0.93999998	2.79112300	-1.21801200
0.95999998	2.79112300	-1.30505700
0.97999998	2.79112300	-1.30505700
0.99999997	2.79112300	-1.30505700
1.01999997	2.79112300	-1.39210100
1.03999997	2.79112300	-1.30505700
1.05999997	2.83541500	-1.39210100
1.07999997	2.83541500	-1.39210100
1.09999997	2.83541500	-1.39210100
1.11999997	2.83541500	-1.47914600
1.13999997	2.79112300	-1.39210100
1.15999997	2.83541500	-1.47914600
1.17999997	2.79112300	-1.47914600
1.19999997	2.83541500	-1.47914600
1.21999997	2.83541500	-1.47914600
1.23999997	2.87970600	-1.47914600
1.25999997	2.83541500	-1.56619100
1.27999997	2.87970600	-1.56619100
1.29999997	2.87970600	-1.56619100
1.31999997	2.87970600	-1.56619100
1.33999997	2.87970600	-1.65323600
1.35999997	2.87970600	-1.65323600
1.37999997	2.87970600	-1.65323600
1.39999996	2.87970600	-1.65323600
1.41999996	2.87970600	-1.65323600
1.43999996	2.87970600	-1.65323600
1.45999996	2.87970600	-1.73997300
1.47999996	2.87970600	-1.73997300
1.49999996	2.92399700	-1.73997300
1.51999996	2.92399700	-1.73997300
1.53999996	2.92399700	-1.82701800
1.55999996	2.92399700	-1.82701800
1.57999996	2.92399700	-1.82701800
1.59999996	2.92399700	-1.82701800
1.61999996	2.92399700	-1.91406300
1.63999996	2.92399700	-1.91406300
1.65999996	2.92399700	-1.91406300
1.67999996	2.92399700	-1.91406300
1.69999996	2.92399700	-1.91406300
1.71999996	2.96828900	-1.91406300
1.73999996	2.92399700	-1.91406300
1.75999996	2.96828900	-2.00110700
1.77999996	2.92399700	-2.00110700
1.79999995	2.96828900	-2.00110700
1.81999995	2.96828900	-2.00110700
1.83999995	2.96828900	-2.00110700
1.85999995	3.01258000	-2.08815200
1.87999995	2.96828900	-2.08815200
1.89999995	2.96828900	-2.08815200
1.91999995	2.96828900	-2.17519700
1.93999995	2.96828900	-2.17519700
1.95999995	2.96828900	-2.17519700
1.97999995	2.96828900	-2.17519700
1.99999995	2.96828900	-2.17519700
2.01999995	2.96828900	-2.17519700
2.03999995	2.96828900	-2.17519700
2.05999995	2.92399700	-2.26224200
2.07999995	2.96828900	-2.26224200
2.09999995	2.96828900	-2.26224200
2.11999995	2.96828900	-2.26224200
2.13999995	2.96828900	-2.34928600
2.15999995	2.96828900	-2.34928600
2.17999994	2.96828900	-2.34928600
2.19999994	2.96828900	-2.34928600
2.21999994	2.96828900	-2.43633100
2.23999994	2.96828900	-2.43633100
2.25999994	2.96828900	-2.43633100
2.27999994	2.96828900	-2.43633100
2.29999994	2.96828900	-2.43633100
2.31999994	2.96828900	-2.43633100
2.33999994	2.96828900	-2.52337600
2.35999994	2.96828900	-2.52337600
2.37999994	2.96828900	-2.52337600
