Frequency	Channel A	Channel B
(ms)	(V)	(mV)

0.00000000	-0.70589320	9.91480000
0.01000000	-0.70589320	9.91480000
0.02000000	-0.70589320	9.91480000
0.03000000	-0.70589320	10.34541000
0.04000000	-0.70589320	10.34541000
0.05000000	-0.68829970	10.34541000
0.06000000	-0.68829970	9.91480000
0.07000000	-0.68829970	9.91480000
0.08000000	-0.67064470	9.91480000
0.09000000	-0.67064470	9.91480000
0.10000000	-0.67064470	9.91480000
0.11000000	-0.67064470	9.91480000
0.12000000	-0.65298970	9.91480000
0.13000000	-0.65298970	9.91480000
0.14000000	-0.65298970	9.91480000
0.15000000	-0.65298970	9.91480000
0.16000000	-0.63533470	9.91480000
0.17000000	-0.63533470	9.91480000
0.18000000	-0.63533470	9.91480000
0.19000000	-0.63533470	9.91480000
0.19999999	-0.61767960	9.91480000
0.20999999	-0.61767960	9.91480000
0.21999999	-0.61767960	9.91480000
0.22999999	-0.60002460	9.91480000
0.23999999	-0.60002460	9.91480000
0.24999999	-0.60002460	9.91480000
0.25999999	-0.60002460	9.91480000
0.26999999	-0.60002460	9.91480000
0.27999999	-0.58236960	9.91480000
0.28999999	-0.58236960	9.48419000
0.29999999	-0.58236960	9.91480000
0.30999999	-0.58236960	9.91480000
0.31999999	-0.56471460	9.91480000
0.32999999	-0.56471460	9.91480000
0.33999999	-0.56471460	10.34541000
0.34999999	-0.56471460	9.91480000
0.35999999	-0.54705950	9.91480000
0.36999999	-0.54705950	9.91480000
0.37999999	-0.54705950	9.91480000
0.38999999	-0.52940450	9.91480000
0.39999999	-0.52940450	9.91480000
0.40999999	-0.52940450	9.91480000
0.41999999	-0.52940450	9.91480000
0.42999999	-0.52940450	9.91480000
0.43999999	-0.51181100	9.48419000
0.44999999	-0.51181100	9.91480000
0.45999999	-0.51181100	9.91480000
0.46999999	-0.51181100	9.91480000
0.47999999	-0.49415600	9.91480000
0.48999999	-0.49415600	9.91480000
0.49999999	-0.49415600	9.91480000
0.50999999	-0.47650100	9.91480000
0.51999999	-0.47650100	9.91480000
0.52999999	-0.47650100	9.91480000
0.53999999	-0.47650100	9.91480000
0.54999999	-0.45884600	9.91480000
0.55999999	-0.45884600	9.91480000
0.56999999	-0.45884600	9.91480000
0.57999999	-0.45884600	9.48419000
0.58999999	-0.44119100	9.91480000
0.59999998	-0.44119100	9.91480000
0.60999998	-0.44119100	9.91480000
0.61999998	-0.44119100	9.91480000
0.62999998	-0.42353590	9.48419000
0.63999998	-0.42353590	9.91480000
0.64999998	-0.42353590	9.91480000
0.65999998	-0.42353590	9.91480000
0.66999998	-0.40588090	9.91480000
0.67999998	-0.40588090	9.91480000
0.68999998	-0.40588090	9.91480000
0.69999998	-0.38822590	9.48419000
0.70999998	-0.38822590	9.91480000
0.71999998	-0.38822590	9.48419000
0.72999998	-0.38822590	9.91480000
0.73999998	-0.38822590	9.91480000
0.74999998	-0.37057090	9.91480000
0.75999998	-0.37057090	9.91480000
0.76999998	-0.37057090	9.91480000
0.77999998	-0.35291590	9.48419000
0.78999998	-0.35291590	9.48419000
0.79999998	-0.35291590	9.48419000
0.80999998	-0.35291590	9.48419000
0.81999998	-0.33532240	9.91480000
0.82999998	-0.33532240	9.91480000
0.83999998	-0.33532240	9.91480000
0.84999998	-0.33532240	9.91480000
0.85999998	-0.31766730	9.91480000
0.86999998	-0.31766730	9.91480000
0.87999998	-0.31766730	9.91480000
0.88999998	-0.31766730	10.34541000
0.89999998	-0.30001230	9.91480000
0.90999998	-0.30001230	9.91480000
0.91999998	-0.30001230	9.91480000
0.92999998	-0.28235730	9.48419000
0.93999998	-0.28235730	9.91480000
0.94999998	-0.28235730	9.48419000
0.95999998	-0.28235730	9.91480000
0.96999998	-0.26470230	9.91480000
0.97999998	-0.26470230	9.91480000
0.98999997	-0.26470230	9.48419000
0.99999997	-0.26470230	9.91480000
1.00999997	-0.24704720	9.91480000
1.01999997	-0.24704720	9.48419000
1.02999997	-0.24704720	9.91480000
1.03999997	-0.24704720	9.91480000
1.04999997	-0.24704720	9.91480000
1.05999997	-0.22939220	9.91480000
1.06999997	-0.22939220	9.91480000
1.07999997	-0.22939220	9.91480000
1.08999997	-0.21173720	9.91480000
1.09999997	-0.21173720	9.91480000
1.10999997	-0.21173720	9.48419000
1.11999997	-0.21173720	9.91480000
1.12999997	-0.19408220	9.48419000
1.13999997	-0.19408220	9.91480000
1.14999997	-0.19408220	9.91480000
1.15999997	-0.19408220	9.48419000
1.16999997	-0.17642720	9.48419000
1.17999997	-0.17642720	9.91480000
1.18999997	-0.17642720	9.91480000
1.19999997	-0.15883370	9.48419000
1.20999997	-0.15883370	9.91480000
1.21999997	-0.15883370	9.91480000
1.22999997	-0.15883370	9.91480000
1.23999997	-0.14117860	9.91480000
1.24999997	-0.14117860	9.91480000
1.25999997	-0.14117860	9.91480000
1.26999997	-0.14117860	9.91480000
1.27999997	-0.12352360	9.91480000
1.28999997	-0.12352360	9.48419000
1.29999997	-0.12352360	9.91480000
1.30999997	-0.10586860	9.91480000
1.31999997	-0.10586860	9.91480000
1.32999997	-0.10586860	9.91480000
1.33999997	-0.10586860	9.48419000
1.34999997	-0.08821359	9.48419000
1.35999997	-0.08821359	9.48419000
1.36999997	-0.08821359	9.91480000
1.37999997	-0.07055856	9.48419000
1.38999996	-0.07055856	9.91480000
1.39999996	-0.07055856	9.91480000
1.40999996	-0.05290354	9.91480000
1.41999996	-0.05290354	9.48419000
1.42999996	-0.05290354	9.91480000
1.43999996	-0.05290354	9.91480000
1.44999996	-0.03524852	9.91480000
1.45999996	-0.03524852	9.48419000
1.46999996	-0.03524852	9.48419000
1.47999996	-0.01759350	9.91480000
1.48999996	-0.01759350	9.48419000
1.49999996	-0.01759350	9.48419000
1.50999996	0.00000000	9.48419000
1.51999996	0.00000000	9.48419000
1.52999996	0.00000000	9.48419000
1.53999996	0.01759350	9.48419000
1.54999996	0.01759350	9.48419000
1.55999996	0.01759350	9.05204100
1.56999996	0.01759350	9.05204100
1.57999996	0.03524852	9.05204100
1.58999996	0.03524852	9.05204100
1.59999996	0.03524852	9.05204100
1.60999996	0.05290354	8.62143100
1.61999996	0.05290354	8.62143100
1.62999996	0.05290354	8.62143100
1.63999996	0.05290354	8.62143100
1.64999996	0.07055856	8.62143100
1.65999996	0.07055856	8.62143100
1.66999996	0.07055856	8.62143100
1.67999996	0.08821359	8.19082200
1.68999996	0.08821359	8.19082200
1.69999996	0.08821359	7.75867300
1.70999996	0.10586860	7.75867300
1.71999996	0.10586860	7.75867300
1.72999996	0.10586860	7.32806300
1.73999996	0.12352360	7.32806300
1.74999996	0.12352360	7.32806300
1.75999996	0.12352360	6.89745300
1.76999996	0.12352360	7.32806300
1.77999996	0.14117860	6.89745300
1.78999995	0.14117860	6.46530500
1.79999995	0.14117860	6.46530500
1.80999995	0.15883370	6.46530500
1.81999995	0.15883370	6.03469500
1.82999995	0.15883370	6.03469500
1.83999995	0.17642720	5.60408400
1.84999995	0.17642720	6.03469500
1.85999995	0.17642720	5.60408400
1.86999995	0.17642720	5.17193600
1.87999995	0.19408220	5.17193600
1.88999995	0.19408220	4.74132600
1.89999995	0.19408220	4.31071600
1.90999995	0.21173720	4.31071600
1.91999995	0.21173720	3.87856800
1.92999995	0.21173720	3.87856800
1.93999995	0.21173720	3.87856800
1.94999995	0.22939220	3.44795700
1.95999995	0.22939220	3.01734700
1.96999995	0.22939220	3.01734700
1.97999995	0.24704720	3.01734700
1.98999995	0.24704720	2.58519900
1.99999995	0.24704720	2.58519900
2.00999995	0.26470230	2.15458900
2.01999995	0.26470230	1.72397900
